page,index,Продукт,Старая цена,Новая цена,Процент скидки,Время проведения акции
80,15,"Набор конфет КОМИЛЬФО, Фисташки, 116г",380.90,189.99,−50%,с  9 февраля - до  8 марта
80,17,"Набор конфет КОМИЛЬФО, Фисташки, 116г",380.90,189.99,−50%,с  9 февраля - до  8 марта
92,10,"Кофе ФРЕСКО АРАБИКА БЛЕНД, растворимый, сублимированный, 100г",459.99,229.99,−50%,с 15 февраля - до 28 февраля
103,41,"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ фирменные говядина-свинина, 700г",558.38,279.99,−50%,с 15 февраля - до 28 февраля
103,43,"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ фирменные говядина-свинина, 700г",554.48,279.99,−50%,с 15 февраля - до 28 февраля
103,44,"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ фирменные говядина-свинина, 700г",555.16,279.99,−50%,с 15 февраля - до 28 февраля
133,44,"Подарочный набор WITH LOVE: пена для ванн, лосьон, скраб для тела, крем для рук",1599.99,799.99,−50%,с 25 января - до  9 марта
133,45,"Подарочный набор WITH LOVE: пена для ванн, лосьон, скраб для тела, крем для рук",1599.99,799.99,−50%,с 25 января - до  9 марта
133,46,"Подарочный набор WITH LOVE: пена для ванн, лосьон, скраб для тела, крем для рук",1599.99,799.99,−50%,с 25 января - до  9 марта
139,26,"Парфюмерная вода BEVERLY HILLS POLO CLUB Mystique, 100 мл",4998.43,2499.22,−50%,с  8 февраля - до  8 марта
139,27,"Парфюмерная вода BEVERLY HILLS POLO CLUB Mystique, 100 мл",4998.43,2499.22,−50%,с  8 февраля - до  8 марта
139,28,"Парфюмерная вода BEVERLY HILLS POLO CLUB Mystique, 100 мл",4998.43,2499.22,−50%,с  8 февраля - до  8 марта
139,29,"Парфюмерная вода BEVERLY HILLS POLO CLUB Passion, женская, 100 мл",5011.010,2505.51,−50%,с  8 февраля - до  8 марта
139,30,"Парфюмерная вода BEVERLY HILLS POLO CLUB Passion, женская, 100 мл",5011.010,2505.51,−50%,с  8 февраля - до  8 марта
139,31,"Парфюмерная вода BEVERLY HILLS POLO CLUB Passion, женская, 100 мл",5011.010,2505.51,−50%,с  8 февраля - до  8 марта
46,1,BREESAL Ароматическ гелев шарики в ассортименте (Upeco):9/18,195.99,99.99,−49%,с  8 февраля - до  8 марта
46,8,"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 200г",196.19,99.99,−49%,с  9 февраля - до  8 марта
46,9,"Чипсы РУССКАЯ КАРТОШКА Лук и сметана, 200г",195.99,99.99,−49%,с  9 февраля - до  8 марта
56,46,"Средство для мытья посуды и игрушек SYNERGETIC®, лимон-яблоко-алоэ, 500мл",236.99,119.99,−49%,с 15 февраля - до  8 марта
67,14,"Колбаса ДОКТОРСКАЯ, ГОСТ , мини, 1 штука (Великолукский МК), 500г",284.99,144.99,−49%,с 15 февраля - до 28 февраля
